#PARAMETERS
param p:= 9;
param n:= 298;
param c:= .1;


#ALL X DATA
param X :
	1	2	3	4	5	6	7	8	9
:=
152	-1
153	-1
154	-1
155	-1
156	-1
157	-1
158	-1
159	-1
160	-1
161	-1
162	-1
163	-1
164	-1
165	-1
166	-1
167	-1
168	1
169	-1
170	-1
171	-1
172	-1
173	-1
174	-1
175	1
176	-1
177	-1
178	-1
179	-1
180	-1
181	-1
182	-1
183	-1
184	-1
185	-1
186	-1
187	-1
188	-1
189	-1
190	-1
191	1
192	-1
193	-1
194	-1
195	-1
196	-1
197	-1
198	-1
199	-1
200	-1
201	-1
202	-1
203	-1
204	-1
205	-1
206	1
207	-1
208	-1
209	-1
210	-1
211	-1
212	-1
213	-1
214	-1
215	-1
216	1
217	-1
218	-1
219	-1
220	1
221	-1
222	-1
223	-1
224	-1
225	-1
226	-1
227	-1
228	-1
229	-1
230	-1
231	-1
232	-1
233	-1
234	-1
235	-1
236	-1
237	-1
238	-1
239	1
240	-1
241	-1
242	-1
243	-1
244	-1
245	-1
246	-1
247	-1
248	-1
249	-1
250	-1
251	-1
252	-1
253	-1
254	1
255	-1
256	-1
257	-1
258	-1
259	-1
260	-1
261	-1
262	-1
263	-1
264	1
265	-1
266	-1
267	-1
268	-1
269	-1
270	-1
271	-1
272	-1
273	-1
274	-1
275	-1
276	-1
277	-1
278	-1
279	1
280	1
281	-1
282	-1
283	-1
284	-1
285	-1
286	-1
287	-1
288	-1
289	-1
290	-1
291	-1
292	1
293	-1
294	-1
295	-1
296	-1
297	-1
298	-1
;
